test,stratum,chamber,label,group,congress,committee_n,n_D,n_R,n_I,chamber_n,committee_median,chamber_median,displacement,abs_displacement,ci_lo,ci_hi,outlier,p_value
stratified_primary,overall,House,House Ways & Means,not_predicted,109,42,17,25,0,439,0.3055,0.229,0.07649999999999998,0.07649999999999998,0.228,0.3425,FALSE,0.20157984201579843
stratified_primary,overall,House,House Ways & Means,not_predicted,110,41,24,17,0,449,-0.27,-0.155,-0.11500000000000002,0.11500000000000002,-0.308,-0.119,FALSE,0.1787821217878212
stratified_primary,overall,House,House Ways & Means,not_predicted,111,41,26,15,0,448,-0.302,-0.184,-0.118,0.118,-0.31,-0.155,FALSE,0.04999500049995
stratified_primary,overall,House,House Ways & Means,not_predicted,112,39,15,24,0,445,0.313,0.269,0.043999999999999984,0.043999999999999984,0.258,0.402,FALSE,0.6517348265173483
stratified_primary,overall,House,House Ways & Means,not_predicted,113,39,16,23,0,444,0.311,0.2585,0.05249999999999999,0.05249999999999999,0.244,0.402,FALSE,0.5354464553544646
stratified_primary,overall,House,House Ways & Means,not_predicted,114,41,15,26,0,441,0.362,0.292,0.07,0.07,0.269,0.435,FALSE,0.37746225377462256
stratified_primary,overall,House,House Ways & Means,not_predicted,115,44,17,27,0,450,0.3705,0.28049999999999997,0.09000000000000002,0.09000000000000002,0.2685,0.4315,FALSE,0.31216878312168783
stratified_primary,overall,House,House Ways & Means,not_predicted,116,43,26,17,0,449,-0.283,-0.194,-0.08899999999999997,0.08899999999999997,-0.329,-0.198,FALSE,0.23767623237676233
stratified_primary,overall,House,House Ways & Means,not_predicted,117,42,24,18,0,455,-0.2355,-0.164,-0.07149999999999998,0.07149999999999998,-0.3125,-0.196,FALSE,0.7031296870312969
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,103,29,16,13,0,102,-0.216,-0.1435,-0.07250000000000001,0.07250000000000001,-0.241,-0.095,FALSE,0.0831916808319168
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,104,29,14,15,0,103,0.014,0.084,-0.07,0.07,0.014,0.219,FALSE,0.37276272372762725
stratified_primary,overall,Senate,Senate Appropriations,not_predicted,105,27,13,14,0,100,0.068,0.153,-0.08499999999999999,0.08499999999999999,0.014,0.262,FALSE,0.5089491050894911
