chamber,label,group,congress,committee_n,chamber_n,committee_median,chamber_median,displacement,abs_displacement,ci_lo,ci_hi,outlier,p_value
Senate,Senate Finance,not_predicted,104,22,103,0.1585,0.084,0.0745,0.0745,-0.2620375,0.3165,FALSE,0.7626237376262374
Senate,Senate Finance,not_predicted,105,20,100,0.049,0.153,-0.104,0.104,-0.264,0.354,FALSE,0.6802319768023197
Senate,Senate Finance,not_predicted,106,21,102,0.084,0.135,-0.051000000000000004,0.051000000000000004,-0.256,0.346,FALSE,0.877012298770123
Senate,Senate Finance,not_predicted,107,21,101,0.014,0.003,0.011,0.011,-0.268,0.338,FALSE,0.9595040495950405
Senate,Senate Finance,not_predicted,108,21,100,0.091,0.0795,0.011499999999999996,0.011499999999999996,-0.268,0.338,FALSE,1
Senate,Senate Finance,not_predicted,109,19,101,0.192,0.185,0.007000000000000006,0.007000000000000006,-0.268,0.364,FALSE,0.9666033396660334
Senate,Senate Finance,not_predicted,110,23,102,0.091,0.019000000000000003,0.072,0.072,-0.268,0.356,FALSE,0.9141085891410858
Senate,Senate Finance,not_predicted,111,24,111,-0.186,-0.205,0.01899999999999999,0.01899999999999999,-0.3025,0.2565,FALSE,0.689031096890311
Senate,Senate Finance,not_predicted,112,24,102,-0.186,-0.156,-0.03,0.03,-0.263,0.376,FALSE,0.9158084191580842
Senate,Senate Finance,not_predicted,113,26,105,-0.2025,-0.193,-0.009500000000000008,0.009500000000000008,-0.2935,0.373,FALSE,0.8889111088891111
Senate,Senate Finance,not_predicted,114,26,100,0.3665,0.286,0.08050000000000002,0.08050000000000002,-0.237,0.40549999999999997,FALSE,0.6696330366963303
Senate,Senate Finance,not_predicted,115,27,105,0.362,0.285,0.07700000000000001,0.07700000000000001,-0.24,0.413,FALSE,0.8223177682231777
Senate,Senate Finance,not_predicted,116,29,102,0.371,0.2855,0.08550000000000002,0.08550000000000002,-0.252,0.413,FALSE,0.6306369363063694
Senate,Senate Finance,not_predicted,117,28,102,0.0915,0.0335,0.057999999999999996,0.057999999999999996,-0.2835,0.4195,FALSE,0.8924107589241076
Senate,Senate Rules & Administration,not_predicted,103,16,102,-0.242,-0.1435,-0.0985,0.0985,-0.303,0.2665,FALSE,0.5327467253274673
Senate,Senate Rules & Administration,not_predicted,104,17,103,0.219,0.084,0.135,0.135,-0.277,0.338,FALSE,0.6663333666633336
Senate,Senate Rules & Administration,not_predicted,105,16,100,0.2405,0.153,0.0875,0.0875,-0.2715,0.3670124999999998,FALSE,0.7736226377362264
Senate,Senate Rules & Administration,not_predicted,106,16,102,0.2405,0.135,0.10549999999999998,0.10549999999999998,-0.267,0.3615,FALSE,0.6959304069593041
Senate,Senate Rules & Administration,not_predicted,107,19,101,-0.123,0.003,-0.126,0.126,-0.276,0.344,FALSE,0.7766223377662234
Senate,Senate Rules & Administration,not_predicted,108,19,100,0.192,0.0795,0.1125,0.1125,-0.277,0.344,FALSE,0.7334266573342666
Senate,Senate Rules & Administration,not_predicted,109,18,101,0.253,0.185,0.068,0.068,-0.273,0.3635,FALSE,0.7775222477752225
Senate,Senate Rules & Administration,not_predicted,110,20,102,0.0945,0.019000000000000003,0.0755,0.0755,-0.279,0.359,FALSE,0.8127187281271873
Senate,Senate Rules & Administration,not_predicted,111,19,111,-0.199,-0.205,0.005999999999999978,0.005999999999999978,-0.314,0.31,FALSE,0.8972102789721028
Senate,Senate Rules & Administration,not_predicted,112,18,102,-0.1145,-0.156,0.041499999999999995,0.041499999999999995,-0.2875,0.3850249999999996,FALSE,0.8639136086391361
Senate,Senate Rules & Administration,not_predicted,113,19,105,-0.199,-0.193,-0.006000000000000005,0.006000000000000005,-0.32,0.382,FALSE,0.9598040195980402
Senate,Senate Rules & Administration,not_predicted,114,18,100,0.286,0.286,0,0,-0.272,0.424,FALSE,1
Senate,Senate Rules & Administration,not_predicted,115,20,105,0.286,0.285,0.0010000000000000009,0.0010000000000000009,-0.273,0.4285,FALSE,0.9971002899710029
Senate,Senate Rules & Administration,not_predicted,116,19,102,0.285,0.2855,-5.000000000000004e-4,5.000000000000004e-4,-0.285,0.444,FALSE,1
Senate,Senate Rules & Administration,not_predicted,117,18,102,0.05799999999999998,0.0335,0.02449999999999998,0.02449999999999998,-0.3155125,0.4485,FALSE,0.9451054894510549
